time,open,high,low,close,tick_volume,spread,real_volume
2022-01-03,1.13693,1.13778,1.12795,1.12971,53813,0,0
2022-01-04,1.12961,1.13226,1.12723,1.12862,62525,0,0
2022-01-05,1.12852,1.13466,1.12765,1.13135,61289,0,0
2022-01-06,1.13111,1.13316,1.12846,1.12976,67251,0,0
2022-01-07,1.1296,1.13647,1.12901,1.1359,49836,0,0
2022-01-10,1.1355,1.13599,1.12853,1.13252,53457,0,0
2022-01-11,1.1323,1.13753,1.13131,1.13666,49386,0,0
2022-01-12,1.13655,1.14528,1.13545,1.14411,51872,0,0
2022-01-13,1.14402,1.14817,1.14357,1.14539,53078,0,0
2022-01-14,1.14531,1.14829,1.13987,1.14151,59882,0,0
2022-01-17,1.14117,1.1434199999999999,1.1391499999999999,1.14062,34611,0,0
2022-01-18,1.14062,1.14216,1.13147,1.13258,68363,0,0
2022-01-19,1.13249,1.13569,1.13163,1.1342,58174,0,0
2022-01-20,1.1339299999999999,1.13689,1.13031,1.13108,59448,0,0
2022-01-21,1.13092,1.13597,1.1301,1.13421,60447,0,0
2022-01-24,1.13371,1.13447,1.12906,1.13254,70762,0,0
2022-01-25,1.13226,1.1328,1.12632,1.13006,63243,0,0
2022-01-26,1.12991,1.13108,1.12354,1.12405,75069,0,0
2022-01-27,1.12404,1.12431,1.11313,1.11444,83832,0,0
2022-01-28,1.11428,1.11737,1.11214,1.11469,78407,0,0
2022-01-31,1.11406,1.12477,1.11378,1.12333,74328,0,0
2022-02-01,1.12315,1.12786,1.12208,1.12718,72903,0,0
2022-02-02,1.12715,1.13301,1.12667,1.13035,61143,0,0
2022-02-03,1.13018,1.14513,1.12665,1.14392,97250,0,0
2022-02-04,1.14389,1.14836,1.14116,1.14514,96664,0,0
2022-02-07,1.14573,1.14614,1.14151,1.14419,76500,0,0
2022-02-08,1.14411,1.14486,1.13958,1.14163,67506,0,0
2022-02-09,1.14127,1.14479,1.14025,1.14228,56550,0,0
2022-02-10,1.14223,1.1494900000000001,1.13748,1.1428099999999999,91739,0,0
2022-02-11,1.14279,1.14299,1.13296,1.1347800000000001,102769,1,0
2022-02-14,1.13371,1.13691,1.12801,1.13061,99898,0,0
2022-02-15,1.13066,1.13683,1.1299,1.13585,78319,0,0
2022-02-16,1.13589,1.13959,1.13448,1.1372200000000001,70181,0,0
2022-02-17,1.13726,1.1386,1.13233,1.13587,92546,0,0
2022-02-18,1.13601,1.13769,1.13142,1.13207,70508,0,0
2022-02-21,1.13159,1.1390500000000001,1.13067,1.13095,54877,0,0
2022-02-22,1.13093,1.1367,1.1288,1.13242,94061,0,0
2022-02-23,1.13241,1.1359,1.13012,1.13051,62377,0,0
2022-02-24,1.13023,1.13086,1.11064,1.11907,171782,0,0
2022-02-25,1.11895,1.12741,1.1166,1.12718,112440,0,0
2022-02-28,1.11259,1.12465,1.11247,1.12181,137870,0,0
2022-03-01,1.12177,1.12331,1.10895,1.11231,114236,0,0
2022-03-02,1.11248,1.11437,1.10574,1.11187,129025,0,0
2022-03-03,1.11187,1.11216,1.10336,1.10662,95504,0,0
2022-03-04,1.10664,1.10679,1.08852,1.09279,126626,0,0
2022-03-07,1.09255,1.09323,1.0806,1.08538,162493,0,0
2022-03-08,1.08531,1.09583,1.08471,1.08971,162242,0,0
2022-03-09,1.08967,1.10951,1.08898,1.10754,117446,0,0
2022-03-10,1.1072899999999999,1.11213,1.09763,1.09813,129371,0,0
2022-03-11,1.09861,1.10438,1.0902,1.09122,117084,0,0
2022-03-14,1.09105,1.09939,1.09007,1.09421,104498,0,0
2022-03-15,1.09418,1.10199,1.09261,1.0949,115985,0,0
2022-03-16,1.0951,1.10467,1.09499,1.10308,130676,0,0
2022-03-17,1.10308,1.11376,1.10078,1.10909,92143,0,0
2022-03-18,1.10916,1.11185,1.10031,1.10511,91210,0,0
2022-03-21,1.10505,1.10701,1.10103,1.10188,77611,0,0
2022-03-22,1.10176,1.10458,1.0961,1.10294,92718,0,0
2022-03-23,1.10279,1.1044100000000001,1.0964,1.10066,78764,0,0
2022-03-24,1.10052,1.1014,1.0966,1.09965,85357,0,0
2022-03-25,1.09968,1.10379,1.09809,1.09835,84642,0,0
2022-03-28,1.09849,1.09996,1.09446,1.09769,104595,0,0
2022-03-29,1.09819,1.11371,1.09694,1.10861,125961,0,0
2022-03-30,1.10864,1.11711,1.10792,1.11575,111829,0,0
2022-03-31,1.11579,1.11848,1.1061,1.10665,107081,0,0
2022-04-01,1.10669,1.10764,1.1028,1.10491,87179,0,0
2022-04-04,1.10315,1.10545,1.09606,1.09708,71355,0,0
2022-04-05,1.09708,1.09886,1.09,1.09048,76266,0,0
2022-04-06,1.09047,1.0937999999999999,1.08742,1.08956,97390,0,0
2022-04-07,1.08917,1.09385,1.08648,1.08779,91841,0,0
2022-04-08,1.08764,1.08918,1.08364,1.08747,76730,0,0
2022-04-11,1.09169,1.09333,1.08728,1.08829,75238,0,0
2022-04-12,1.08825,1.09037,1.08213,1.08275,96441,0,0
2022-04-13,1.08274,1.08943,1.08089,1.08853,80855,0,0
2022-04-14,1.08828,1.09234,1.07575,1.08278,103636,0,0
2022-04-15,1.08276,1.08303,1.07963,1.08129,55858,0,0
2022-04-18,1.07994,1.08216,1.07699,1.07821,55696,0,0
2022-04-19,1.07821,1.08146,1.07612,1.07871,83038,0,0
2022-04-20,1.07874,1.0867,1.07837,1.08512,99279,0,0
2022-04-21,1.08512,1.09363,1.08237,1.08318,100565,0,0
2022-04-22,1.08346,1.08516,1.07708,1.07961,97301,0,0
2022-04-25,1.0806,1.08139,1.06968,1.07125,125551,0,0
2022-04-26,1.07121,1.07388,1.06359,1.0637,101333,0,0
2022-04-27,1.06376,1.06548,1.05146,1.05543,116117,0,0
2022-04-28,1.05534,1.05648,1.04713,1.04982,134170,0,0
2022-04-29,1.04977,1.05929,1.04912,1.05414,111834,0,0
2022-05-02,1.05421,1.05684,1.04902,1.05074,91938,0,0
2022-05-03,1.0507,1.05777,1.04923,1.05196,91379,0,0
2022-05-04,1.05197,1.0631,1.05061,1.06184,110147,0,0
2022-05-05,1.06184,1.0642,1.04927,1.05385,133060,0,0
2022-05-06,1.05383,1.05989,1.04827,1.0545,154154,0,0
2022-05-09,1.05439,1.05925,1.04952,1.05584,120059,0,0
2022-05-10,1.0557,1.05855,1.05253,1.05253,128376,0,0
2022-05-11,1.05248,1.05772,1.0502,1.0512299999999999,135270,0,0
2022-05-12,1.05119,1.05294,1.03538,1.03789,143139,0,0
2022-05-13,1.03789,1.04198,1.03496,1.04068,103970,0,0
2022-05-16,1.03959,1.04432,1.03891,1.04314,88807,0,0
2022-05-17,1.0431,1.05558,1.04284,1.05462,110405,0,0
2022-05-18,1.05462,1.05639,1.04603,1.0461,99041,0,0
2022-05-19,1.04614,1.06072,1.0459,1.05854,135784,0,0
2022-05-20,1.05816,1.05989,1.05327,1.05598,101925,0,0
2022-05-23,1.05617,1.06974,1.05561,1.06901,72625,0,0
2022-05-24,1.06878,1.07485,1.06607,1.07328,85878,0,0
2022-05-25,1.07338,1.0739,1.06422,1.0679,88646,0,0
2022-05-26,1.06775,1.07315,1.06624,1.0729,76938,0,0
2022-05-27,1.07239,1.07649,1.06969,1.07343,75763,0,0
2022-05-30,1.07325,1.07869,1.07243,1.0778,63286,0,0
2022-05-31,1.07756,1.0779,1.06789,1.07326,121516,0,0
2022-06-01,1.0732,1.07392,1.06272,1.06484,90319,0,0
2022-06-02,1.06453,1.07502,1.06448,1.07463,95129,0,0
2022-06-03,1.07443,1.07645,1.07038,1.0716,109508,0,0
2022-06-06,1.07146,1.0752,1.06839,1.06955,90102,0,0
2022-06-07,1.0695000000000001,1.07142,1.0652,1.07049,137163,0,0
2022-06-08,1.07036,1.07484,1.06713,1.07157,119702,0,0
2022-06-09,1.07154,1.0774,1.06111,1.06159,198675,0,0
2022-06-10,1.06142,1.06422,1.05057,1.05161,188490,0,0
2022-06-13,1.05135,1.05202,1.03996,1.04076,213690,0,0
2022-06-14,1.04078,1.04848,1.03968,1.04157,210433,0,0
2022-06-15,1.04157,1.05078,1.0359099999999999,1.04423,343636,0,0
2022-06-16,1.04423,1.06012,1.03811,1.05468,151056,0,0
2022-06-17,1.05467,1.05599,1.04446,1.04918,106249,0,0
2022-06-20,1.04747,1.05458,1.04746,1.05073,73533,0,0
2022-06-21,1.05086,1.05826,1.05053,1.05329,147947,0,0
2022-06-22,1.05329,1.06056,1.04689,1.05657,187121,0,0
2022-06-23,1.05653,1.05812,1.04827,1.05198,234510,0,0
2022-06-24,1.05225,1.05712,1.05122,1.05522,158931,0,0
2022-06-27,1.05456,1.06148,1.05456,1.0582,152824,0,0
2022-06-28,1.05819,1.06062,1.05034,1.05161,123171,0,0
2022-06-29,1.05157,1.05353,1.04352,1.0439,132931,0,0
2022-06-30,1.0439,1.04889,1.03825,1.04835,147818,0,0
2022-07-01,1.04837,1.04852,1.03657,1.04267,151237,1,0
2022-07-04,1.04196,1.04628,1.04171,1.0423,75784,0,0
2022-07-05,1.04202,1.04488,1.02351,1.02664,130332,0,0
2022-07-06,1.02666,1.02764,1.01618,1.0181,140458,0,0
