time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 00:00:00,1.06809,1.07089,1.06719,1.06744,205,0,0
2023-01-02 01:00:00,1.06751,1.06958,1.06739,1.06958,93,179,0
2023-01-02 02:00:00,1.06947,1.07034,1.06895,1.07024,301,33,0
2023-01-02 03:00:00,1.07028,1.07058,1.06852,1.06881,222,20,0
2023-01-02 04:00:00,1.06881,1.06888,1.06806,1.06871,158,78,0
2023-01-02 05:00:00,1.06871,1.07019,1.06824,1.06879,282,13,0
2023-01-02 06:00:00,1.06876,1.07014,1.06872,1.06975,115,58,0
2023-01-02 07:00:00,1.06971,1.07017,1.069,1.06967,467,0,0
2023-01-02 08:00:00,1.06971,1.06989,1.06754,1.06811,897,2,0
2023-01-02 09:00:00,1.0681,1.06919,1.06636,1.06784,1267,0,0
2023-01-02 10:00:00,1.06785,1.06974,1.06713,1.0679,1915,0,0
2023-01-02 11:00:00,1.0679,1.06995,1.06768,1.06788,2967,0,0
2023-01-02 12:00:00,1.06784,1.069,1.06745,1.0683799999999999,912,0,0
2023-01-02 13:00:00,1.0683799999999999,1.06866,1.06803,1.06846,607,0,0
2023-01-02 14:00:00,1.06845,1.06875,1.06761,1.06825,1041,0,0
2023-01-02 15:00:00,1.06825,1.06863,1.06766,1.06783,993,0,0
2023-01-02 16:00:00,1.06785,1.06821,1.06708,1.06724,1147,0,0
2023-01-02 17:00:00,1.06725,1.0674,1.0659,1.06601,1308,0,0
2023-01-02 18:00:00,1.066,1.06701,1.06511,1.06542,2024,0,0
2023-01-02 19:00:00,1.06542,1.06625,1.06534,1.06607,1193,0,0
2023-01-02 20:00:00,1.06607,1.06609,1.06521,1.06521,1127,0,0
2023-01-02 21:00:00,1.0652,1.06586,1.06499,1.06562,849,0,0
2023-01-02 22:00:00,1.06563,1.06681,1.06554,1.0667,826,0,0
2023-01-02 23:00:00,1.06606,1.06727,1.06532,1.0658,536,9,0
2023-01-03 00:00:00,1.06643,1.06677,1.0653299999999999,1.06648,211,19,0
2023-01-03 01:00:00,1.0665499999999999,1.06837,1.065,1.06767,4027,0,0
2023-01-03 02:00:00,1.06767,1.06781,1.0667,1.06706,2647,0,0
2023-01-03 03:00:00,1.06706,1.06745,1.06506,1.06599,5282,0,0
2023-01-03 04:00:00,1.06598,1.06779,1.06577,1.06766,3318,0,0
2023-01-03 05:00:00,1.06766,1.06786,1.06691,1.06724,2310,0,0
2023-01-03 06:00:00,1.06725,1.06802,1.06671,1.06674,1767,0,0
2023-01-03 07:00:00,1.06674,1.06709,1.0659,1.06636,3606,0,0
2023-01-03 08:00:00,1.06636,1.06678,1.06516,1.06522,4297,0,0
2023-01-03 09:00:00,1.06522,1.06587,1.062,1.06237,7191,0,0
