time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02,1.06809,1.07089,1.06499,1.0658,21452,0,0
2023-01-03,1.06643,1.06837,1.05195,1.05411,148982,0,0
2023-01-04,1.05465,1.06356,1.05411,1.06001,152267,0,0
2023-01-05,1.0603,1.0631599999999999,1.0515,1.0516,141545,0,0
2023-01-06,1.05207,1.06482,1.04814,1.06403,144518,0,0
2023-01-09,1.06393,1.07607,1.06304,1.07301,124573,0,0
2023-01-10,1.07318,1.07593,1.07122,1.07281,127506,0,0
2023-01-11,1.07334,1.07765,1.0725500000000001,1.07537,102647,0,0
2023-01-12,1.07535,1.08671,1.07306,1.08453,160034,0,0
2023-01-13,1.08515,1.08679,1.07804,1.08257,129920,0,0
2023-01-16,1.0828,1.08743,1.08016,1.08169,75536,0,0
2023-01-17,1.0821,1.08695,1.07745,1.07861,133711,0,0
2023-01-18,1.07876,1.08874,1.07662,1.07901,165441,0,0
2023-01-19,1.07936,1.084,1.07825,1.08267,125180,0,0
2023-01-20,1.08294,1.08591,1.08024,1.0857,100498,0,0
2023-01-23,1.08661,1.09267,1.08464,1.08682,103027,0,0
2023-01-24,1.08715,1.08981,1.08352,1.08812,99657,0,0
2023-01-25,1.08879,1.09238,1.08573,1.09121,100916,0,0
2023-01-26,1.09147,1.09294,1.08506,1.08879,100576,0,0
2023-01-27,1.08917,1.09004,1.08378,1.08661,90844,0,0
2023-01-30,1.08563,1.09137,1.08392,1.08476,96509,0,0
2023-01-31,1.085,1.08749,1.0802,1.08611,103494,0,0
2023-02-01,1.08639,1.1001,1.08523,1.09848,119159,0,0
2023-02-02,1.09886,1.10331,1.08852,1.09061,142144,0,0
2023-02-03,1.09099,1.09402,1.07923,1.07936,132535,0,0
2023-02-06,1.07825,1.07989,1.07094,1.07216,107551,0,0
2023-02-07,1.07249,1.07666,1.06692,1.07195,141350,0,0
2023-02-08,1.07267,1.07608,1.07081,1.07081,94039,0,0
2023-02-09,1.07129,1.07908,1.07081,1.0731,100234,0,0
2023-02-10,1.07386,1.07528,1.06664,1.06727,105114,0,0
2023-02-13,1.06802,1.0729899999999999,1.06557,1.07181,82332,0,0
2023-02-14,1.07243,1.08038,1.07068,1.07352,145356,0,0
2023-02-15,1.0735999999999999,1.07445,1.06606,1.06847,106020,0,0
2023-02-16,1.06864,1.07225,1.06545,1.06697,117457,0,0
2023-02-17,1.0672,1.06985,1.06129,1.06911,101258,0,0
2023-02-20,1.06835,1.07047,1.06703,1.06849,53209,0,0
